pressure_node_2,flow_pipe_20
9.599837237626158,-2246.2973808986108
9.055182595638154,-3038.041142211044
9.290073534514555,-3619.7305969979084
9.581562576708638,-3585.998777735286
9.809127335872848,-4501.382796834176
10.312209685594853,-595.1249513540273
10.751473435293295,476.9772047943166
11.220369416580784,-869.3667346409524
11.442083430824706,-844.2525101368998
11.744156969158182,-986.4019642461101
11.873211367539165,773.7101527478264
12.00099939951811,613.2616940581954
11.974866056259216,943.6786659402046
11.980891130836033,841.1183634956252
12.044808576515804,675.074450081102
12.220222912064916,392.65979307002675
12.172547049524933,2000.5843167415123
12.108368638453184,1661.5061258695614
12.01903063882731,1571.0576834521103
12.008708035978103,1418.5724746469998
11.920327143606645,1365.7348412258696
11.549316861929432,1586.433427060037
11.390688543021733,1724.005317288874
11.236876922012103,-2335.985923482323
10.758214992722351,-1708.318367929426
9.948004898243765,-907.4520705933062
9.70012607107616,-2184.2988978576163
9.308751149179917,-2938.303601778582
9.63241254558758,-3527.3112770225994
9.634339197860331,665.3519011601695
9.725119748987785,655.8320019636195
10.40635692845431,-620.511321475858
10.860915358784819,419.59321774332017
11.339060278466105,-895.802351374091
11.56962222441804,-867.8978626243444
11.873970196100656,-993.4092516980064
12.006953536151693,760.6498366343116
12.132740793047669,616.9177441634396
12.101466846434937,954.8653971277959
12.102950084138996,853.0968823959047
12.163378905890315,686.889997804943
12.335208266383455,408.09150948984035
12.281322392718865,2010.129615956382
12.212553731480373,1671.3661152279099
12.119681389604892,1580.8959139927433
12.106694874678896,1428.327165620095
12.015926808504005,1375.4875793604929
11.642726278910654,1596.1699149262681
11.36295155934678,1733.6325962560666
11.270436690619501,-2327.1200064307177
10.769574995258303,-1731.9253796041673
9.945236588464144,-926.7304449743253
9.686133636733562,-2199.5530929998454
9.288158437174669,-2950.044442687935
9.614407132092241,-3537.2049210768764
9.629275358595555,-3506.9788215065623
9.714661883048894,642.1693117672916
10.394747588717909,-624.5571099501161
10.848160467355585,415.3294645749484
11.32551181440308,-899.0367698739803
11.555340189499038,-870.9073183049802
11.859244781871206,-996.3276752996536
11.991790620281268,757.8137419840148
12.117345678692203,614.0274312388917
12.086027482235638,952.222033217362
12.087546621111093,850.5738686264859
12.148028021735405,684.5276317087412
12.320006716470171,405.4658007516148
12.266588482853342,2008.5250052731074
12.198181359901646,1669.7565511723392
12.105616712554477,1579.327823682058
12.09288240900242,1426.798661154904
12.002369098537326,1373.986755276628
11.629433323433789,1594.7038416634584
11.366949266317436,1732.1997553592753
11.266025170709717,-2328.430012737587
10.768219465654411,-1728.655069075327
9.945822108552774,-924.0582480923057
9.688256055960457,-2197.4349482811663
9.291195662824036,-2948.407805035793
9.618032801960704,-3535.825938662014
9.629679858523073,-3505.6935514717993
9.716103268831011,644.4766925338913
10.396355382516479,-624.1250135183758
10.849933070285568,415.7818175877828
11.327395836466279,-898.6658605307404
11.557327573659562,-870.5607172914243
11.86128984873316,-995.9683988693592
11.99389441044538,758.156210406617
12.119475036887469,614.3980797267837
12.088154900165229,952.5710201827444
12.089662523570619,850.9087812048459
12.150132229425932,684.8420188740274
12.322086918995538,405.81853046375755
12.268600846259092,2008.7407223658786
12.200141309036765,1669.9733504686308
12.107532813441463,1579.5394024038249
12.094763286098589,1427.005121846681
12.004214252331911,1374.1898436045062
11.631241946814496,1594.902377292163
11.366443900372435,1732.3939902045001
11.266651684322376,-2328.2539441794347
10.768434748645799,-1729.0928747285009
9.94577611219575,-924.4155444286016
9.68800300864074,-2197.718052846017
9.29081916010124,-2948.6256188056427
9.61757676625911,-3536.009101620179
9.629626773939611,-3505.8641235046853
9.715913565726696,644.1661078085846
10.396140354580071,-624.1937628819213
10.849692937134892,415.709616926857
11.327138341864746,-898.7230636779726
11.557053821610031,-870.614050544343
11.86100642144488,-996.0221459868883
11.993601406021822,758.1045530890887
12.119177143721895,614.3435437549422
12.087856148528049,952.5204220654559
12.089364223520489,850.860362289846
12.149834914360559,684.7966434305744
12.32179253495208,405.76798279943677
12.268315621733404,2008.7098083149667
12.199863286679676,1669.942327823831
12.107260782230362,1579.5091548458533
12.094496222345168,1426.9756414199044
12.00395216830529,1374.1607600063999
11.630984998916622,1594.874064821938
11.36645963766778,1732.366316373172
11.26653450280787,-2328.276329427351
10.768366308181033,-1729.0433818272618
9.945738691202907,-924.3759381458194
9.68799028881005,-2197.6866868819175
9.290821647487414,-2948.6028600457066
9.617589141427763,-3535.9904663753564
9.62963942126488,-3505.8469486302806
9.715937236784105,644.2047806082775
10.396171448468696,-624.167354971782
10.849731463167354,415.7376594206743
11.327182478640298,-898.7036287669347
11.557103246109365,-870.5960747426299
11.861059703350316,-996.0062505737276
11.993658218065702,758.1204532920723
12.119236598743859,614.3583219364301
12.087917108765387,952.5330952958176
12.089426764312556,850.8722964348265
12.149898071120127,684.8077468557672
12.321855641163003,405.77994436799696
12.268377360751412,2008.7170882234116
12.199923694177663,1669.9495679174943
12.107320245659135,1579.5161681364339
12.094555008393353,1426.9824466445007
12.004010082002953,1374.167381100433
11.631041890530556,1594.880478442007
11.366380942234507,1732.37254872393
11.26652250419131,-2328.2677402505515
10.768330663420516,-1729.071327034406
9.945688115940438,-924.3995028182153
9.687927971290826,-2197.7053358787575
9.290752791308552,-2948.6188198484515
9.61751636503127,-3536.004398079369
9.629566538295952,-3505.8600877295617
9.71585914088318,644.1739469431091
10.396090424142919,-624.1905029052081
10.849647452724716,415.7131584988774
11.32709671091216,-898.7216693539325
11.557015939432873,-870.6128515858223
11.860971774549633,-996.0221216931799
